time,blink_count,ear,fatigue_score,stress_score
2026-03-15 22:17:15,21,0.207,100,30
2026-03-15 22:17:15,21,0.229,100,30
2026-03-15 22:17:15,21,0.206,100,30
2026-03-15 22:17:15,21,0.222,100,30
2026-03-15 22:17:15,21,0.204,100,30
2026-03-15 22:17:15,21,0.049,100,30
2026-03-15 22:17:15,21,0.046,100,30
2026-03-15 22:17:15,21,0.048,100,31
2026-03-15 22:17:15,21,0.048,100,31
2026-03-15 22:17:15,21,0.112,100,31
2026-03-15 22:17:15,21,0.12,100,31
2026-03-15 22:17:15,21,0.1,100,31
2026-03-15 22:17:15,21,0.146,100,31
2026-03-15 22:17:15,21,0.138,100,31
2026-03-15 22:17:15,21,0.157,100,31
2026-03-15 22:17:15,21,0.146,100,31
2026-03-15 22:17:15,21,0.146,100,31
2026-03-15 22:17:15,21,0.145,100,31
2026-03-15 22:17:15,21,0.146,100,31
2026-03-15 22:17:15,21,0.16,100,31
2026-03-15 22:17:15,21,0.182,100,32
2026-03-15 22:17:16,21,0.162,100,32
2026-03-15 22:17:16,21,0.159,100,32
2026-03-15 22:17:16,21,0.169,100,32
2026-03-15 22:17:16,21,0.161,100,32
2026-03-15 22:17:16,21,0.166,100,32
2026-03-15 22:17:16,21,0.158,100,32
2026-03-15 22:17:16,21,0.068,100,32
2026-03-15 22:17:16,21,0.069,100,32
2026-03-15 22:17:16,21,0.068,100,32
2026-03-15 22:17:16,21,0.075,100,32
2026-03-15 22:17:16,21,0.088,100,32
2026-03-15 22:17:16,21,0.146,100,33
2026-03-15 22:17:16,21,0.146,100,33
2026-03-15 22:17:16,21,0.146,100,33
2026-03-15 22:17:16,21,0.146,100,33
2026-03-15 22:17:16,21,0.166,100,33
2026-03-15 22:17:16,21,0.133,100,33
2026-03-15 22:17:16,21,0.145,100,33
2026-03-15 22:17:16,21,0.137,100,33
2026-03-15 22:17:16,21,0.14,100,33
2026-03-15 22:17:16,21,0.169,100,33
2026-03-15 22:17:16,21,0.162,100,33
2026-03-15 22:17:16,21,0.167,100,33
2026-03-15 22:17:17,21,0.16,100,33
2026-03-15 22:17:17,21,0.162,100,33
2026-03-15 22:17:17,21,0.16,100,33
2026-03-15 22:17:17,21,0.16,100,33
2026-03-15 22:17:17,21,0.168,100,34
2026-03-15 22:17:17,21,0.159,100,34
2026-03-15 22:17:17,21,0.16,100,34
2026-03-15 22:17:17,21,0.159,100,34
2026-03-15 22:17:17,21,0.159,100,34
2026-03-15 22:17:17,21,0.157,100,34
2026-03-15 22:17:17,21,0.159,100,34
2026-03-15 22:17:17,21,0.159,100,34
2026-03-15 22:17:17,21,0.164,100,34
2026-03-15 22:17:17,21,0.162,100,34
2026-03-15 22:17:17,21,0.159,100,34
2026-03-15 22:17:17,21,0.163,100,34
2026-03-15 22:17:17,21,0.178,100,34
2026-03-15 22:17:17,21,0.178,100,34
2026-03-15 22:17:17,21,0.175,100,34
2026-03-15 22:17:17,21,0.175,100,34
2026-03-15 22:17:17,21,0.066,100,35
2026-03-15 22:17:17,21,0.059,100,35
2026-03-15 22:17:17,21,0.059,100,35
2026-03-15 22:17:17,21,0.059,100,35
2026-03-15 22:17:17,21,0.135,100,35
2026-03-15 22:17:17,21,0.148,100,35
2026-03-15 22:17:17,21,0.141,100,35
2026-03-15 22:17:17,21,0.147,100,35
2026-03-15 22:17:17,21,0.172,100,35
